"Affiliation with the main Other religions, 1996 to 2021",,,,
Year,Islam,Hinduism,Buddhism,Sikhism
1996,"200,900","67,300","199,800","12,000"
2001,"281,600","95,500","357,800","17,400"
2006,"340,400","148,100","418,800","26,400"
2011,"476,300","275,500","529,000","72,300"
2016,"604,200","440,300","563,700","125,900"
2021,"813,400","684,000","615,800","210,400"
,,,,
Source: Religious affiliation (RELP).,,,,
,,,,
"Source: Australian Bureau of Statistics, Religious affiliation in Australia 4/07/2022",,,,