Source,Target,Value
Oceania and Antarctica,Buddhism,154142
Oceania and Antarctica,Christianity,8372291
Oceania and Antarctica,Hinduism,170079
Oceania and Antarctica,Islam,331689
Oceania and Antarctica,Judaism,56857
Oceania and Antarctica,Other Religions,121508
Oceania and Antarctica,Secular/No Religion,7985626
North-West Europe,Buddhism,7953
North-West Europe,Christianity,720043
North-West Europe,Hinduism,5099
North-West Europe,Islam,5082
North-West Europe,Judaism,6296
North-West Europe,Other Religions,6327
North-West Europe,Secular/No Religion,664306
Southern and Eastern Europe,Buddhism,1517
Southern and Eastern Europe,Christianity,509261
Southern and Eastern Europe,Hinduism,504
Southern and Eastern Europe,Islam,17639
Southern and Eastern Europe,Judaism,7711
Southern and Eastern Europe,Other Religions,791
Southern and Eastern Europe,Secular/No Religion,102419
North Africa and the Middle East,Buddhism,729
North Africa and the Middle East,Christianity,191314
North Africa and the Middle East,Hinduism,2115
North Africa and the Middle East,Islam,162455
North Africa and the Middle East,Judaism,7668
North Africa and the Middle East,Other Religions,21369
North Africa and the Middle East,Secular/No Religion,53587
South-East Asia,Buddhism,277368
South-East Asia,Christianity,505474
South-East Asia,Hinduism,14134
South-East Asia,Islam,39828
South-East Asia,Judaism,481
South-East Asia,Other Religions,7066
South-East Asia,Secular/No Religion,183540
North-East Asia,Buddhism,85796
North-East Asia,Christianity,162656
North-East Asia,Hinduism,545
North-East Asia,Islam,2770
North-East Asia,Judaism,358
North-East Asia,Other Religions,3780
North-East Asia,Secular/No Religion,577474
Southern and Central Asia,Buddhism,80871
Southern and Central Asia,Christianity,153420
Southern and Central Asia,Hinduism,475346
Southern and Central Asia,Islam,216590
Southern and Central Asia,Judaism,794
Southern and Central Asia,Other Religions,158148
Southern and Central Asia,Secular/No Religion,45945
Americas,Buddhism,2585
Americas,Christianity,180414
Americas,Hinduism,2012
Americas,Islam,2518
Americas,Judaism,4179
Americas,Other Religions,3266
Americas,Secular/No Religion,134718
Sub-Saharan Africa,Buddhism,1150
Sub-Saharan Africa,Christianity,233011
Sub-Saharan Africa,Hinduism,12127
Sub-Saharan Africa,Islam,27266
Sub-Saharan Africa,Judaism,13701
Sub-Saharan Africa,Other Religions,1793
Sub-Saharan Africa,Secular/No Religion,72203
Supplementary codes,Buddhism,245
Supplementary codes,Christianity,5715
Supplementary codes,Hinduism,120
Supplementary codes,Islam,728
Supplementary codes,Judaism,1399
Supplementary codes,Other Religions,134
Supplementary codes,Secular/No Religion,4640
Not stated,Buddhism,3466
Not stated,Christianity,115220
Not stated,Hinduism,1927
Not stated,Islam,6818
Not stated,Judaism,514
Not stated,Other Religions,1229
Not stated,Secular/No Religion,62492
Total,Buddhism,615823
Total,Christianity,11148814
Total,Hinduism,684002
Total,Islam,813392
Total,Judaism,99956
Total,Other Religions,325421
Total,Secular/No Religion,9886957